Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CS3221,CS3221_CA,CS3221_attendance,CS3211,CS3211_CA,CS3211_attendance,CS3233,CS3233_CA,CS3233_attendance,CS3224,CS3224_CA,CS3224_attendance,CS3214,CS3214_CA,CS3214_attendance,CS3222,CS3222_CA,CS3222_attendance,CS3212,CS3212_CA,CS3212_attendance,CS3235,CS3235_CA,CS3235_attendance,6sem_gpa,5th_sem_GPA,6sem_pass/fail
Male,less than 1 hour,Yes,Yes,Yes,B-,23,1,A+,21,1,A+,22,1,A+,25,1,A-,24,1,A-,23,1,A+,22,1,A,24,1,3.73,3.021666667,1
Male,2,No,No,Yes,C+,28,1,A,27,1,B-,26,1,ab,30,0,B-,28,1,B-,27,1,B,26,1,A,29,1,2.83,1.021666667,0
Male,less than 1 hour,Yes,No,No,B+,19,1,A+,17,1,A,18,1,A,21,1,A,20,1,A-,19,1,B+,18,1,A+,22,1,3.82,3.488333333,1
Male,3,No,No,No,C+,30,1,A+,29,1,B+,28,1,B-,31,1,B+,30,1,C+,29,1,B+,28,1,A-,31,1,3.12,2.323333333,1
Male,3,Yes,No,No,B-,26,1,A+,24,1,C+,25,1,ab,28,1,B+,26,1,C+,25,1,B+,24,1,B+,28,1,2.78,3.443333333,0
Female,5,No,No,No,B+,31,1,B-,30,1,A-,29,1,A+,32,1,A-,31,1,A,30,1,A,29,1,B,31,1,3.52,3.046666667,1
Male,2,Yes,Yes,No,B+,25,1,A+,23,1,A,24,1,B+,27,1,B+,26,1,B+,25,1,B+,24,1,A,26,1,3.58,1.991666667,1
Male,4,Yes,No,No,C+,29,1,B+,28,1,B-,27,1,B+,30,1,B,29,1,B-,28,1,B,27,1,B,30,1,2.86,3.198333333,1
Male,less than 1 hour,Yes,Yes,Yes,C,21,1,A,19,1,B+,20,1,A+,23,1,A-,22,1,B,21,1,B+,20,1,B,23,1,3.2,2.785,1
Male,less than 1 hour,No,No,No,B-,30,1,A,29,1,B+,28,1,A+,31,1,A,30,1,A,29,1,B+,28,1,B,31,1,3.49,2.841666667,1
Female,2,No,No,Yes,A-,24,1,A+,22,1,A-,23,1,A+,26,1,A,25,1,A-,24,1,A+,23,1,B,25,1,3.68,2.703333333,1
Male,1,Yes,No,No,B,28,1,A,26,1,B,27,1,A-,29,1,A-,28,1,B-,27,1,B+,26,1,A,30,1,3.43,2.938333333,1
Male,5,No,No,No,B-,19,1,A,17,1,A,18,1,A+,21,1,A+,19,1,A+,20,1,B-,18,1,A-,22,1,3.68,3.038333333,1
Male,2,Yes,No,No,B+,31,1,A+,30,1,A+,29,1,A+,32,1,A+,31,1,A+,30,1,A+,29,1,A+,31,1,3.91,2.845,1
Male,3,Yes,No,No,C-,22,1,C+,20,1,C,21,1,A+,24,1,D,23,1,C,22,1,C,21,1,C,24,1,1.91,3.078333333,0
Female,2,Yes,No,No,B+,30,1,A,29,1,A,28,1,B+,31,1,A,30,1,B,29,1,B+,28,1,A+,31,1,3.68,3.475,1
Male,4,No,No,No,B-,25,1,A-,24,1,A-,23,1,B,26,1,B+,25,1,B,24,1,B+,23,1,A,26,1,3.38,0.763333333,1
Male,3,No,No,No,B-,29,1,C+,27,1,A+,28,1,A-,31,1,A-,29,1,A+,28,1,B,27,1,A,30,1,3.57,3,1
Male,4,No,No,No,B,20,1,A,18,1,A-,19,1,B+,22,1,B+,21,1,A-,20,1,C+,19,1,A,21,1,3.49,2.265,1
Male,less than 1 hour,Yes,No,Yes,B+,30,1,A+,29,1,A+,28,1,A,32,1,A+,31,1,A+,30,1,B,29,1,A+,31,1,3.84,2.97,1
Female,less than 1 hour,Yes,No,Yes,A-,23,1,A+,21,1,A+,22,1,A+,26,1,A+,24,1,A,23,1,B+,21,1,A+,24,1,3.91,2.773333333,1
Female,2,No,No,No,B-,27,1,C+,26,1,A,25,1,A+,29,1,B+,28,1,A-,27,1,A-,26,1,B,29,1,3.31,3.485,1
Female,6,No,No,No,B,20,1,A+,18,1,A+,19,1,A+,23,1,A+,21,1,A+,20,1,B+,19,1,B,22,1,3.62,3.24,1
Male,5,No,No,No,A,30,1,A+,29,1,A+,28,1,A+,32,1,A+,31,1,A-,30,1,A-,28,1,B+,31,1,3.8,2.856666667,1
Female,6,No,No,No,C+,25,1,C+,24,1,B,23,1,A,27,1,A-,26,1,B,25,1,B-,24,1,A,27,1,3.25,3.315,1
Female,more than 6 hours,No,No,No,A,30,1,B,29,1,A+,28,1,A+,31,1,A+,30,1,A+,29,1,B+,28,1,A,30,1,3.89,3.368333333,1
Male,2,Yes,No,No,ab,21,0,ab,19,0,ab,20,0,ab,23,0,ab,22,0,ab,21,0,ab,20,0,ab,23,0,0,2.795,0
Male,5,No,No,No,C,27,1,A+,25,1,B-,26,1,A+,29,1,B-,27,1,D+,26,1,B+,25,1,A-,29,1,2.83,3.488333333,0
Male,2,Yes,No,Yes,B+,31,1,A-,30,1,A-,29,1,A+,32,1,A-,31,1,C+,30,1,A+,29,1,B+,32,1,3.42,3.215,1
Female,more than 6 hours,No,No,No,B+,22,1,A+,20,1,B+,21,1,A,24,1,A-,23,1,B,22,1,B,21,1,B+,24,1,3.41,2.31,1
Male,less than 1 hour,Yes,No,Yes,C+,30,1,A+,29,1,B,28,1,A,31,1,B-,30,1,B,29,1,B-,28,1,B+,30,1,3.02,2.965,1
Male,4,No,Yes,No,B-,24,1,B,23,1,A,22,1,A+,25,1,A+,24,1,A,23,1,C+,22,1,C+,26,1,3.31,2.971666667,1
Female,more than 6 hours,No,No,Yes,A+,28,1,ab,27,0,B+,26,1,C+,29,1,C-,28,1,C+,27,1,A-,26,1,B-,29,1,2.56,2.211666667,0
Male,1,Yes,Yes,No,A,19,1,ab,17,0,A,18,1,B,22,1,B-,20,1,C,19,1,A-,18,1,A,21,1,3.12,2.856666667,0
Female,5,Yes,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,0.291666667,0
