Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CS3121,CS3121_CA,CS3121_attendance,CS3111,CS3111_CA,CS3111_attendance,CS3122,CS3122_CA,CS3122_attendance,CS3112,CS3112_CA,CS3112_attendance,CS3123,CS3123_CA,CS3123_attendance,CS3113,CS3113_CA,CS3113_attendance,CS3124,CS3124_CA,CS3124_attendance,CS3114,CS3114_CA,CS3114_attendance,CS3135,CS3135_CA,CS3135_attendance,5sem_gpa,4th_sem_GPA,5sem_pass/fail
Male,4,No,No,No,A,30,1,A,29,1,A-,31,1,B,30,1,A-,30,1,A+,31,1,A-,30,1,A+,31,1,A-,30,1,3.75,3.015,1
Male,4,No,No,Yes,A,25,1,A,24,1,C,26,1,B-,25,1,A+,25,1,A+,26,1,A+,25,1,A,26,1,B,25,1,3.45,3.1125,1
Male,less than 1 hour,Yes,Yes,Yes,A-,27,1,A-,26,1,C,28,1,C,27,1,B,27,1,A+,28,1,B+,27,1,B,28,1,C+,27,1,2.9,3.0825,1
Male,2,No,No,Yes,ab,30,0,ab,29,0,ab,31,0,ab,30,0,ab,30,0,ab,31,0,ab,30,0,ab,31,0,ab,30,0,0,1.5325,0
Male,less than 1 hour,Yes,No,No,A-,22,1,A,21,1,B+,23,1,B,22,1,A+,22,1,A+,23,1,A+,22,1,A+,23,1,A,22,1,3.8,3.3325,1
Male,3,No,No,No,C,28,1,B,27,1,D+,29,1,C+,28,1,B,28,1,A+,29,1,B,28,1,B,29,1,A+,28,1,2.86,2.055,0
Male,3,Yes,No,No,A-,19,1,A,18,1,B,20,1,B,19,1,B+,19,1,A+,20,1,A,19,1,A,20,1,A+,19,1,3.65,3.34,1
Female,5,No,No,No,B,30,1,A-,29,1,B-,31,1,B,30,1,B,30,1,A-,31,1,B,30,1,B,31,1,B,30,1,3.05,3.045,1
Male,2,Yes,Yes,No,C,25,1,B-,24,1,C,26,1,E,25,1,B-,25,1,A+,26,1,B+,25,1,A+,26,1,C,25,1,2.45,1.7625,0
Male,4,Yes,No,No,A-,27,1,A+,26,1,B+,28,1,B+,27,1,B+,27,1,A+,28,1,A-,27,1,B+,28,1,B,27,1,3.44,3.0775,1
Male,less than 1 hour,Yes,Yes,Yes,B,30,1,A,29,1,C+,31,1,C+,30,1,C+,30,1,A+,31,1,B+,30,1,A+,31,1,B-,30,1,2.95,2.7025,1
Male,less than 1 hour,No,No,No,B+,22,1,A,21,1,C+,23,1,B,22,1,C,22,1,A+,23,1,B+,22,1,A+,23,1,C+,22,1,2.91,2.8075,1
Female,2,No,No,Yes,C+,28,1,A,27,1,C-,29,1,B-,28,1,B-,28,1,A+,29,1,B-,28,1,A,29,1,C+,28,1,2.69,2.71,0
Male,1,Yes,No,No,A-,19,1,A,18,1,C+,20,1,B-,19,1,A-,19,1,A+,20,1,B+,19,1,A+,20,1,B,19,1,3.31,2.7525,1
Male,5,No,No,No,B,30,1,A-,29,1,C-,31,1,B-,30,1,B,30,1,A+,31,1,B+,30,1,A+,31,1,B-,30,1,2.97,3.0725,0
Male,2,Yes,No,No,C,25,1,A,24,1,C+,26,1,C+,25,1,B+,25,1,A+,26,1,B,25,1,A+,26,1,C+,25,1,2.83,2.8525,1
Male,3,Yes,No,No,B,29,1,A,28,1,C+,30,1,B,29,1,B-,29,1,A+,30,1,A-,29,1,A+,30,1,B,29,1,3.16,3.0375,1
Female,2,Yes,No,No,B,24,1,A,23,1,B+,25,1,B,24,1,A+,24,1,A+,25,1,A+,24,1,A+,25,1,B+,24,1,3.57,3.4275,1
Male,4,No,No,No,ab,28,0,ab,27,0,ab,29,0,ab,28,0,ab,28,0,ab,29,0,ab,28,0,ab,29,0,ab,28,0,0,1.145,0
Male,3,No,No,No,B+,19,1,A+,18,1,C-,20,1,C+,19,1,B-,19,1,A+,20,1,A-,19,1,A+,20,1,C+,19,1,2.93,3.035,0
Male,4,No,No,No,C,30,1,C+,29,1,C,31,1,C,30,1,B,30,1,B+,31,1,B,30,1,A-,31,1,B-,30,1,2.63,2.0825,1
Male,less than 1 hour,Yes,No,Yes,A-,22,1,A-,21,1,B,23,1,C+,22,1,B+,22,1,A+,23,1,B+,22,1,A,23,1,C+,22,1,3.17,2.87,1
Female,less than 1 hour,Yes,No,Yes,B+,29,1,A,28,1,C,30,1,B+,29,1,B,29,1,A+,30,1,B-,29,1,A+,30,1,C+,29,1,2.95,2.685,1
Female,2,No,No,No,A-,24,1,A,23,1,A-,25,1,B-,24,1,B-,24,1,A+,25,1,A,24,1,A,25,1,A-,24,1,3.6,3.4275,1
Female,6,No,No,No,A-,28,1,B,27,1,B+,29,1,B-,28,1,B+,28,1,A+,29,1,A+,28,1,A+,29,1,B,28,1,3.42,3.15,1
Male,5,No,No,No,C+,19,1,B,18,1,C,20,1,B,19,1,B,19,1,A+,20,1,B,19,1,A+,20,1,B-,19,1,2.85,2.86,1
Female,6,No,No,No,A,30,1,B+,29,1,B,31,1,B,30,1,B,30,1,A+,31,1,A,30,1,A-,31,1,B-,30,1,3.34,3.3025,1
Female,more than 6 hours,No,No,No,A-,25,1,A-,24,1,B,26,1,B,25,1,A-,25,1,A+,26,1,A-,25,1,B+,26,1,B+,25,1,3.47,3.3175,1
Male,2,Yes,No,No,B,29,1,A,28,1,C,30,1,C,29,1,B-,29,1,A+,30,1,B+,29,1,A,30,1,B-,29,1,2.94,2.7225,1
Male,5,No,No,No,B,24,1,A,23,1,B+,25,1,B,24,1,A,24,1,A+,25,1,A-,24,1,A+,25,1,B,24,1,3.46,3.5025,1
Male,2,Yes,No,Yes,A,28,1,A-,27,1,B,29,1,B-,28,1,B+,28,1,A+,29,1,A+,28,1,A+,29,1,B-,28,1,3.41,3.1175,1
Female,more than 6 hours,No,No,No,C+,19,1,A+,18,1,D+,20,1,B-,19,1,C,19,1,A+,20,1,C-,19,1,A+,20,1,D+,19,1,2.21,2.36,0
Male,less than 1 hour,Yes,No,Yes,C+,30,1,A,29,1,C+,31,1,B,30,1,B,30,1,A+,31,1,B+,30,1,A,31,1,B-,30,1,2.99,2.9525,1
Male,4,No,Yes,No,A,22,1,A+,21,1,B,23,1,B,22,1,C+,22,1,A+,23,1,B+,22,1,A+,23,1,B,22,1,3.28,2.8175,1
Female,more than 6 hours,No,No,Yes,C+,29,1,A-,28,1,C,30,1,B-,29,1,C+,29,1,A+,30,1,C,29,1,A+,30,1,C+,29,1,2.57,2.0325,1
Male,1,Yes,Yes,No,B+,24,1,A,23,1,D+,25,1,C,24,1,B+,24,1,A+,25,1,B+,24,1,A,25,1,C+,24,1,2.89,2.84,0
Female,5,Yes,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,0.4375,0
