Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1221,CO1221_CA,CO1221_attendance,CO1222,CO1222_CA,CO1222_attendance,CO1212,CO1212_CA,CO1212_attendance,CO1223,CO1223_CA,CO1223_attendance,CO1213,CO1213_CA,CO1213_attendance,CO1224,CO1224_CA,CO1224_attendance,CO1214,CO1214_CA,CO1214_attendance,CO1225,CO1225_CA,CO1225_attendance,CO1226,CO1226_CA,CO1226_attendance,2sem_gpa,1st_sem_GPA,2sem_pass/fail
Male,5,No,No,Yes,A-,28,1,A,27,1,B+,28,1,C+,10,1,A-,28,1,B-,27,1,A,27,1,B+,28,1,A-,29,1,3.36,2.81,1
Male,5,No,No,Yes,C-,10,1,C+,21,1,C,12,1,D,9,1,B+,28,1,C-,20,1,B,29,1,D+,16,1,ab,30,0,1.62,2.08,0
Male,more than 6 hours,No,No,No,B+,28,1,A,32,1,B-,31,1,B-,25,1,C-,10,1,B,32,1,B+,32,1,C+,15,1,A-,32,1,3.05,3.33,0
Female,6,No,No,No,A,27,1,A,26,1,C,14,1,B-,26,1,B-,28,1,B-,29,1,B+,26,1,C+,20,1,A-,28,1,3.12,3.1,1
Male,3,Yes,No,Yes,B+,30,1,B+,29,1,B-,27,1,C,13,1,A-,28,1,B-,30,1,A,30,1,B,28,1,ab,29,0,2.6,3.23,0
Male,1,Yes,Yes,Yes,ab,31,0,B-,32,1,C+,19,1,E,9,1,D+,8,1,C-,21,1,C,20,1,D+,19,1,B,31,1,1.53,2.31,0
Male,3,No,No,No,ab,26,0,D,10,1,C,15,1,E,8,1,D+,8,1,D,13,1,C+ ,22,1,ab,25,0,B-,25,1,1,2.93,0
Male,4,No,No,No,D+,7,1,C,19,1,C-,9,1,D,11,1,E,18,1,D,10,1,B,27,1,D+,20,1,B+,25,1,1.63,1.04,0
Male,5,No,No,No,C+,20,1,A-,29,1,C+,16,1,C+,16,1,A,28,1,B-,29,1,B+,28,1,B,29,1,A-,28,1,2.99,3.62,1
Male,5,No,No,Yes,C-,9,1,C+,20,1,C,11,1,D,9,1,C+,15,1,C-,13,1,C,10,1,B+,32,1,B+,26,1,2.19,1.57,0
Male,3,No,No,Yes,A-,30,1,A,28,1,A-,24,1,B-,25,1,A,28,1,B,31,1,A+,32,1,A-,26,1,A+,31,1,3.59,3.79,1
Male,2,No,No,No,A,30,1,A,30,1,C,11,1,B-,24,1,A-,29,1,C,27,1,A-,30,1,B,29,1,C+,19,1,3.03,2.66,1
