Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1221,CO1221_CA,CO1221_attendance,CO1222,CO1222_CA,CO1222_attendance,CO1212,CO1212_CA,CO1212_attendance,CO1223,CO1223_CA,CO1223_attendance,CO1213,CO1213_CA,CO1213_attendance,CO1224,CO1224_CA,CO1224_attendance,CO1214,CO1214_CA,CO1214_attendance,CO1225,CO1225_CA,CO1225_attendance,CO1226,CO1226_CA,CO1226_attendance,2sem_gpa,1st_sem_GPA,2sem_pass/fail
Male,less than 1 hour,Yes,Yes,Yes,A,30,1,B-,29,1,A-,31,1,B,30,1,A+,31,1,B+,30,1,A+,29,1,A+,30,1,A,31,1,3.58,3.69,1
Male,2,No,No,Yes,B-,25,1,C-,26,1,B+,24,1,D+,25,1,B+,26,1,C,25,1,B+,24,1,C+,25,1,B,26,1,2.39,3.74,0
Male,less than 1 hour,Yes,No,No,A+,27,1,B-,28,1,B,26,1,B,27,1,A,28,1,B+,27,1,A+,26,1,A-,27,1,A,28,1,3.49,2.68,1
Male,3,No,No,No,B,22,1,C,23,1,C-,21,1,C-,22,1,A+,23,1,C,22,1,A+,21,1,B,22,1,E,23,1,2.21,1.15,0
Male,3,Yes,No,No,B,28,1,C,29,1,B-,27,1,B-,28,1,A-,29,1,B+,28,1,A-,29,1,B,28,1,A+,29,1,3.07,3.63,1
Female,5,No,No,No,B-,20,1,C-,21,1,A,19,1,C,20,1,B+,21,1,B,20,1,B,19,1,C+,20,1,B-,21,1,2.61,3.31,0
Male,2,Yes,Yes,No,B,29,1,C-,28,1,B,30,1,C,29,1,B,30,1,C,29,1,A+,28,1,C+,29,1,B+,30,1,2.57,2.98,0
Male,4,Yes,No,No,B,30,1,C+,29,1,B+,31,1,C+,30,1,A-,31,1,B,30,1,A-,29,1,B,30,1,B,31,1,2.93,3.31,1
Male,less than 1 hour,Yes,Yes,Yes,C+,24,1,E,25,1,B-,23,1,D+,24,1,B,25,1,C,24,1,B-,25,1,C,26,1,A,25,1,2.1,3.03,0
Male,less than 1 hour,No,No,No,B-,26,1,C-,25,1,B,27,1,B,26,1,B+,25,1,C,26,1,B+,27,1,C+,26,1,A-,25,1,2.69,3.29,0
Female,2,No,No,Yes,B-,29,1,C-,28,1,B+,30,1,C+,29,1,B,30,1,C,29,1,A-,28,1,B+,29,1,B,30,1,2.66,2.39,0
Male,1,Yes,No,No,B,31,1,D+,30,1,B+,29,1,C+,31,1,B+,30,1,C,31,1,A,30,1,B-,29,1,A-,31,1,2.7,3.07,0
Male,5,No,No,No,B-,30,1,C,29,1,A,31,1,B,30,1,B+,29,1,B,30,1,A+,31,1,B+,30,1,B,31,1,3.02,3.07,1
Male,2,Yes,No,No,B,29,1,C,28,1,B,30,1,B-,29,1,B,30,1,B+,29,1,B,28,1,A-,29,1,B+,30,1,3,3.06,1
Male,3,Yes,No,No,B,31,1,C+,30,1,B+,29,1,C+,31,1,B+,30,1,B,31,1,A+,30,1,B+,29,1,B,31,1,2.96,3.45,1
Female,2,Yes,No,No,B+,30,1,B+,29,1,C,31,1,B,30,1,A-,29,1,A-,30,1,A+,31,1,A+,30,1,A-,31,1,3.45,3.24,1
Male,4,No,No,No,D+,25,1,ab,26,0,ab,24,0,D+,25,1,D+,26,1,D+,25,1,D,24,1,C,25,1,B,26,1,1.34,3.24,0
Male,3,No,No,No,B-,22,1,C+,21,1,A-,20,1,B-,21,1,A+,22,1,B,21,1,A-,20,1,B-,21,1,B+,20,1,2.99,4,1
Male,4,No,No,No,C,24,1,E,25,1,B+,23,1,C,24,1,A-,25,1,C-,24,1,B,25,1,B,26,1,ab,25,0,1.83,1.35,0
Male,less than 1 hour,Yes,No,Yes,C+,30,1,C,29,1,D+,31,1,B+,30,1,B+,31,1,B,30,1,B,29,1,B,30,1,A,31,1,2.85,2.96,0
Female,less than 1 hour,Yes,No,Yes,B-,26,1,C-,25,1,A,27,1,C,26,1,A,25,1,C,26,1,C,27,1,B-,26,1,ab,25,0,2.15,2.72,0
Female,2,No,No,No,B+,28,1,B+,29,1,A,27,1,B,28,1,A+,29,1,B+,28,1,C,29,1,A-,28,1,B+,29,1,3.32,3.7,1
Female,6,No,No,No,B+,30,1,D,29,1,C,31,1,B-,30,1,A-,31,1,B+,30,1,A+,29,1,A+,30,1,B+,31,1,2.99,2.89,0
Male,5,No,No,No,C+,29,1,C,30,1,B,28,1,C,29,1,A,30,1,C,29,1,B-,28,1,B-,29,1,B,30,1,2.51,3.49,1
Female,6,No,No,No,A,31,1,B-,30,1,C-,29,1,B+,31,1,B+,30,1,B+,31,1,B+,30,1,A+,29,1,A-,31,1,3.53,3.33,0
Female,more than 6 hours,No,No,No,A,24,1,C+,25,1,A,23,1,A-,24,1,A-,25,1,B+,24,1,A+,25,1,A,26,1,A,25,1,3.62,2.62,1
Male,2,Yes,No,No,B-,27,1,D+,28,1,B+,26,1,C,27,1,A,28,1,C+,27,1,A-,26,1,B+,27,1,B+,28,1,2.72,3.12,0
Male,5,No,No,No,A+,30,1,B-,29,1,A-,31,1,A,30,1,A+,31,1,A,30,1,A+,29,1,A,30,1,A-,31,1,3.77,3.63,1
Male,2,Yes,No,Yes,A-,20,1,C,21,1,B-,19,1,B+,20,1,A,21,1,B,20,1,A,19,1,A-,20,1,A-,21,1,3.3,2.63,1
Female,more than 6 hours,No,No,No,C+,29,1,D,28,1,B+,30,1,C+,29,1,A,30,1,C-,29,1,A+,28,1,C+,29,1,ab,30,0,2.03,3.92,0
Male,less than 1 hour,Yes,No,Yes,B+,26,1,C-,25,1,B+,27,1,C+,26,1,B-,25,1,B-,26,1,A,27,1,B+,26,1,B,25,1,2.84,3.33,0
Male,4,No,Yes,No,A-,24,1,C+,25,1,A,23,1,B-,24,1,B+,25,1,B-,24,1,A-,25,1,B-,26,1,B+,25,1,3.05,2.05,1
Female,more than 6 hours,No,No,Yes,C,30,1,E,29,1,C,31,1,E,30,1,C-,31,1,B-,30,1,C+,29,1,B-,30,1,B-,31,1,1.74,3.16,0
Male,1,Yes,Yes,No,C+,29,1,C,30,1,C+,28,1,C-,29,1,B+,30,1,C,29,1,B,28,1,B-,29,1,A-,30,1,2.49,3.43,0
Female,5,Yes,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,1.75,0
