Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1121,CO1121_CA,CO1121_attendance,CO1122,CO1122_CA,CO1122_attendance,CO1112,CO1112_CA,CO1112_attendance,CO1123,CO1123_CA,CO1123_attendance,CO1124,CO1124_CA,CO1124_attendance,CO1114,CO1114_CA,CO1114_attendance,CO1125,CO1125_CA,CO1125_attendance,CO1115,CO1115_CA,CO1115_attendance,CO1126,CO1126_CA,CO1126_attendance,1sem_gpa,pre_sem_GPA,1sem_pass/fail
Male,5,No,No,Yes,C,18,1,C-,10,1,B+,27,1,C,10,1,C+,15,1,A-,28,1,B,26,1,C+,23,1,E,14,1,2.08,0,0
Male,more than 6 hours,No,No,No,A-,31,1,B-,32,1,B-,30,1,B+,32,1,A-,31,1,A-,30,1,A+,31,1,B+,28,1,B-,27,1,3.33,0,1
Female,6,No,No,No,A,29,1,B+,25,1,C-,10,1,B-,26,1,A-,28,1,B+,27,1,A,25,1,B-,26,1,C-,11,1,3.1,0,0
Male,3,Yes,No,Yes,A-,28,1,B+,29,1,B,27,1,B+,30,1,A,29,1,A-,31,1,A-,30,1,C+,20,1,C-,10,1,3.23,0,0
Male,1,Yes,Yes,Yes,B,31,1,D+,8,1,B,30,1,B-,32,1,C+,10,1,B,32,1,B,31,1,C,18,1,D,10,1,2.31,0,0
Male,3,No,No,No,A,31,1,D+,9,1,A,29,1,C,13,1,A,28,1,B-,25,1,A+,26,1,B+,27,1,C-,10,1,2.93,0,0
Male,4,No,No,No,C,12,1,E,10,1,D,8,1,D+,5,1,E,6,1,C,17,1,C,14,1,C,16,1,ab,30,0,1.04,0,0
Male,5,No,No,No,A-,28,1,A-,32,1,B+,26,1,B+,29,1,A,28,1,A+,31,1,A,28,1,B,29,1,B+,28,1,3.62,0,1
Male,5,No,No,Yes,B-,31,1,D,0,1,E,5,1,C-,11,1,C-,10,1,C,11,1,B-,27,1,C,16,1,E,11,1,1.57,0,0
Male,3,No,No,Yes,A-,28,1,A,29,1,A-,26,1,A-,25,1,A+,32,1,A+,30,1,A,28,1,A-,29,1,B+,25,1,3.79,0,1
Male,2,No,No,No,C,13,1,B-,28,1,B+,27,1,B+,29,1,B,28,1,A+,30,1,B-,23,1,B+,29,1,D,8,1,2.66,0,0
Male,5,No,No,No,C,0,1,D+,9,1,D+,11,1,B,31,1,C,20,1,B,30,1,A+,32,1,B+,31,1,D,9,1,2.28,0,0
Female,6,No,No,No,B+,25,1,B+,25,1,B-,23,1,A-,32,1,A-,28,1,A+,31,1,A+,31,1,B,25,1,C-,10,1,3.27,0,1
Female,more than 6 hours,No,No,No,A,31,1,B,30,1,C,12,1,A,30,1,A-,32,1,B-,28,1,A+,32,1,C+,21,1,C-,7,1,3.18,0,1
Female,5,No,No,No,A-,28,1,B-,27,1,C-,9,1,A,29,1,A-,29,1,B,27,1,A-,30,1,B-,29,1,C+,21,1,3.17,0,1
Male,5,Yes,No,No,A+,30,1,A+,31,1,A,31,1,A-,29,1,A,30,1,A,28,1,A,31,1,A+,29,1,A-,30,1,3.92,0,1
Male,1,Yes,Yes,Yes,C,21,1,D+,9,1,C+,24,1,ab,20,0,A,25,1,ab,18,0,B+,23,1,A-,21,1,B,22,1,2.21,0,0
Male,less than 1 hour,Yes,Yes,No,B-,28,1,B,26,1,A+,29,1,A,27,1,B+,29,1,A-,26,1,C+,30,1,A,28,1,C,29,1,3.09,0,1
Male,1,No,Yes,No,A,25,1,A-,24,1,B,27,1,B,25,1,A-,27,1,C,23,1,A,27,1,B+,25,1,B+,26,1,3.45,0,1
Male,4,No,No,No,B+,29,1,C,20,1,A-,30,1,B+,28,1,A,30,1,B-,27,1,B,31,1,A,29,1,B-,30,1,3.13,0,1
Female,2,Yes,No,Yes,C+,24,1,B,25,1,A,26,1,B-,23,1,A,25,1,C+,20,1,A,25,1,B-,24,1,A-,25,1,3.23,0,1
Female,2,Yes,No,Yes,A,27,1,B-,25,1,B+,29,1,A,28,1,C+,12,1,A-,24,1,B,28,1,B,26,1,A,27,1,3.34,0,1
Male,3,No,No,Yes,C,31,1,A+,29,1,A-,32,1,B,28,1,ab,31,0,A,29,1,B+,32,1,B-,31,1,C+,32,1,2.64,0,0
Female,5,No,No,No,A-,26,1,B+,24,1,C+,28,1,A,29,1,B-,27,1,A-,23,1,A+,27,1,B,26,1,B+,27,1,3.4,0,1
Male,less than 1 hour,Yes,No,Yes,D+,20,1,ab,18,0,B,23,1,C+,19,1,A,29,1,C,17,1,B,22,1,A-,21,1,A,20,1,2.53,0,0
