Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO1121,CO1121_CA,CO1121_attendance,CO1122,CO1122_CA,CO1122_attendance,CO1112,CO1112_CA,CO1112_attendance,CO1123,CO1123_CA,CO1123_attendance,CO1124,CO1124_CA,CO1124_attendance,CO1114,CO1114_CA,CO1114_attendance,CO1125,CO1125_CA,CO1125_attendance,CO1115,CO1115_CA,CO1115_attendance,CO1126,CO1126_CA,CO1126_attendance,1sem_gpa,pre_sem_GPA,1sem_pass/fail
Male,3,Yes,No,No,A+,30,1,A-,29,1,D,31,1,A+,30,1,A+,31,1,A+,30,1,A+,29,1,A,30,1,B,31,1,3.63,0,0
Female,5,No,No,No,A+,21,1,A+,20,1,A+,22,1,A,21,1,A+,20,1,A-,21,1,B+,20,1,B+,21,1,E,20,1,3.31,0,0
Male,2,Yes,Yes,No,A,30,1,C,29,1,B,31,1,A+,30,1,A,31,1,B,30,1,B-,29,1,B-,30,1,D+,31,1,2.98,0,0
Male,4,Yes,No,No,B+,31,1,B-,30,1,A-,29,1,A,31,1,B+,30,1,A+,31,1,A,30,1,A,29,1,C-,31,1,3.31,0,0
Male,less than 1 hour,Yes,Yes,Yes,B,24,1,A-,25,1,B,23,1,B-,24,1,A+,25,1,A-,24,1,C+,25,1,A,26,1,C-,25,1,3.03,0,0
Male,less than 1 hour,No,No,No,A+,26,1,B-,25,1,A+,27,1,A+,26,1,A,25,1,A-,26,1,B,27,1,A-,26,1,D+,25,1,3.29,0,0
Female,2,No,No,Yes,B+,29,1,C-,28,1,C+,30,1,A,29,1,B,30,1,C-,29,1,C+,28,1,B+,29,1,E,30,1,2.39,0,0
Male,1,Yes,No,No,A,31,1,B,30,1,C,29,1,A+,31,1,A,30,1,B-,31,1,A-,30,1,A,29,1,E,31,1,3.07,0,0
Male,5,No,No,No,A-,30,1,B-,29,1,A+,31,1,A+,30,1,B+,29,1,B,30,1,A-,31,1,C+,30,1,D,31,1,3.07,0,0
Male,2,Yes,No,No,B,29,1,B-,28,1,B+,30,1,A+,29,1,B+,30,1,B,29,1,B,28,1,B,29,1,C+,30,1,3.06,0,1
Male,3,Yes,No,No,A,31,1,B-,30,1,A+,29,1,A+,31,1,B+,30,1,A-,31,1,A+,30,1,A,29,1,C,31,1,3.45,0,1
Female,2,Yes,No,No,A,30,1,B,29,1,A+,31,1,A+,30,1,B+,29,1,B+,30,1,B,31,1,B+,30,1,C-,31,1,3.24,0,0
Male,4,No,No,No,A-,25,1,B-,26,1,A-,24,1,A+,25,1,B-,26,1,B-,25,1,A,24,1,A,25,1,C,26,1,3.24,0,1
Male,3,No,No,No,A+,22,1,A+,21,1,A+,20,1,A+,21,1,A+,22,1,A+,21,1,A+,20,1,A+,21,1,A,20,1,4,0,1
Male,4,No,No,No,C+,24,1,E,25,1,ab,23,0,C+,24,1,C+,25,1,D,24,1,C-,25,1,C,26,1,ab,25,1,1.35,0,0
Male,less than 1 hour,Yes,No,Yes,B+,30,1,B,29,1,C,31,1,A+,30,1,B-,31,1,A+,30,1,B-,29,1,B,30,1,C,31,1,2.96,0,1
Female,less than 1 hour,Yes,No,Yes,A-,26,1,D+,25,1,A-,27,1,A-,26,1,A,25,1,B+,26,1,B-,27,1,B,26,1,E,25,1,2.72,0,0
Female,2,No,No,No,A-,28,1,A-,29,1,A-,27,1,A+,28,1,A-,29,1,B,28,1,A,29,1,A+,28,1,B+,29,1,3.7,0,1
Female,6,No,No,No,A,30,1,C+,29,1,A,31,1,A,30,1,B+,31,1,C+,30,1,C+,29,1,B+,30,1,D,31,1,2.89,0,0
Male,5,No,No,No,A+,29,1,B,30,1,A+,28,1,A+,29,1,A+,30,1,B+,29,1,A+,28,1,B,29,1,C,30,1,3.49,0,1
Female,6,No,No,No,A-,31,1,C+,30,1,B+,29,1,A,31,1,A,30,1,B-,31,1,A-,30,1,A+,29,1,C+,31,1,3.33,0,1
Female,more than 6 hours,No,No,No,B+,24,1,C+,25,1,A+,23,1,A-,24,1,B+,25,1,C,24,1,B-,25,1,B-,26,1,E,25,1,2.62,0,0
Male,2,Yes,No,No,A,27,1,B+,28,1,A+,26,1,A+,27,1,A,28,1,C+,27,1,B+,26,1,B+,27,1,ab,28,0,3.12,0,0
Male,5,No,No,No,A+,30,1,A-,29,1,A+,31,1,A+,30,1,A,31,1,B+,30,1,A,29,1,A-,30,1,C,31,1,3.63,0,1
Male,2,Yes,No,Yes,B+,20,1,B,21,1,B-,19,1,A,20,1,A-,21,1,ab,20,0,B-,19,1,B+,20,1,E,21,1,2.63,0,0
Female,more than 6 hours,No,No,No,A-,29,1,A,28,1,A+,30,1,A+,29,1,A+,30,1,A+,29,1,A+,28,1,A+,29,1,A-,30,1,3.92,0,1
Male,less than 1 hour,Yes,No,Yes,A+,26,1,B-,25,1,A+,27,1,A+,26,1,A+,25,1,B-,26,1,A+,27,1,B+,26,1,D+,25,1,3.33,0,0
Male,4,No,Yes,No,B,24,1,ab,25,0,ab,23,0,B,24,1,A-,25,1,B+,24,1,C,25,1,A,26,1,ab,25,0,2.05,0,0
Female,more than 6 hours,No,No,Yes,A-,30,1,B-,29,1,B+,31,1,A+,30,1,B,31,1,B+,30,1,A-,29,1,A,30,1,D+,31,1,3.16,0,0
Male,1,Yes,Yes,No,A+,29,1,B,30,1,A+,28,1,A+,29,1,A,30,1,A,29,1,A-,28,1,A,29,1,D,30,1,3.43,0,0
Female,5,Yes,No,No,B,23,1,ab,25,0,ab,28,0,B-,28,1,B+,27,1,C,23,1,C,25,1,C+,25,1,ab,30,0,1.75,0,0
