Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2121,CO2121_CA,CO2121_attendance,CO2122,CO2122_CA,CO2122_attendance,CO2112,CO2112_CA,CO2112_attendance,CO2123,CO2123_CA,CO2123_attendance,CO2124,CO2124_CA,CO2124_attendance,CO2114,CO2114_CA,CO2114_attendance,CO2125,CO2125_CA,CO2125_attendance,CO2115,CO2115_CA,CO2115_attendance,CO2126,CO2126_CA,CO2126_attendance,3sem_gpa,2nd_sem_GPA,3sem_pass/fail
Male,5,No,No,Yes,B+,22,1,A-,29,1,A,25,1,B+,30,1,A+,33,1,A,27,1,A+,31,1,A-,28,1,A+,31,1,3.75,3.085,1
Male,5,No,No,Yes,B,25,1,B-,22,1,B+,19,1,C+,20,1,C+,19,1,B+,24,1,C,21,1,B,28,1,C+,20,1,2.59,1.85,1
Male,more than 6 hours,No,No,No,B,28,1,A-,27,1,A,25,1,A,30,1,A-,27,1,A,29,1,A,26,1,B+,28,1,B,28,1,3.6,3.19,1
Female,6,No,No,No,B+,22,1,B+,24,1,A-,24,1,B+,20,1,A,27,1,A-,19,1,B+,28,1,A,28,1,A,19,1,3.59,3.11,1
Male,3,Yes,No,Yes,B-,21,1,C+,18,1,B,15,1,B,23,1,B-,27,1,B+,20,1,B+,20,1,B-,20,1,C+,22,1,2.77,2.915,1
Male,1,Yes,Yes,Yes,C,19,1,D+,20,1,B+,23,1,C,18,1,E,5,1,C+,22,1,C+,19,1,B,25,1,D,8,1,1.72,1.92,0
Male,3,No,No,No,A-,30,1,B,29,1,B,27,1,B,31,1,B+,29,1,A,30,1,B,20,1,B+,28,1,B+,30,1,3.26,1.965,1
Male,4,No,No,No,B,24,1,B+,21,1,A-,20,1,A+,31,1,A+,30,1,B+,23,1,B+,22,1,A+,30,1,A+,30,1,3.61,1.335,1
Male,5,No,No,No,C+,26,1,C,18,1,B,21,1,C+,21,1,B+,22,1,C,22,1,C+,20,1,B+,23,1,C+,21,1,2.49,3.305,1
Male,5,No,No,Yes,A-,31,1,B,30,1,A+,29,1,A+,30,1,B,30,1,B+,31,1,B+,30,1,A+,30,1,A+,30,1,3.55,1.88,1
Male,3,No,No,Yes,B+,23,1,A,25,1,B+,18,1,A,30,1,B,20,1,B-,22,1,A,20,1,B+,19,1,B+,23,1,3.5,3.69,1
Male,2,No,No,No,C,17,1,B,27,1,C,13,1,B,30,1,C+,27,1,B,29,1,C,12,1,B+,27,1,C,19,1,2.46,2.845,1
Male,5,No,No,No,A,28,1,A-,20,1,A+,31,1,A,31,1,A,30,1,A+,31,1,A,27,1,A,28,1,A+,30,1,3.96,2.345,1
Female,6,No,No,No,A+,30,1,A-,20,1,A+,31,1,A+,31,1,A+,30,1,A,30,1,A,28,1,A+,29,1,A+,30,1,3.96,3.29,1
Female,more than 6 hours,No,No,No,B,27,1,A,26,1,A-,31,1,A,31,1,A,29,1,B+,26,1,A,27,1,A-,28,1,A+,30,1,3.78,3.3,1
Female,5,No,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,3.13,0
Male,5,Yes,No,No,A+,28,1,A,29,1,A+,30,1,A+,26,1,A-,27,1,A+,22,1,A+,30,1,A,28,1,A,27,1,3.96,3.96,1
Male,1,Yes,Yes,Yes,B-,27,1,ab,21,0,ab,24,0,C+,23,1,ab,26,0,ab,17,0,B-,28,1,A,24,1,D,25,1,1.43,1.345,0
Male,less than 1 hour,Yes,Yes,No,A+,29,1,A-,28,1,A+,31,1,A+,30,1,C+,29,1,A,25,1,A+,31,1,A+,29,1,A,30,1,3.73,3.155,1
Male,1,No,Yes,No,B+,31,1,B,24,1,A,28,1,A+,27,1,C,30,1,B-,26,1,A-,30,1,A,31,1,A,31,1,3.38,3.21,1
Male,4,No,No,No,A+,25,1,B+,19,1,A,24,1,B+,22,1,B-,25,1,B+,16,1,A,25,1,B+,23,1,A-,22,1,3.51,3.06,1
Female,2,Yes,No,Yes,A-,29,1,C+,31,1,A+,32,1,A-,30,1,C-,32,1,B+,29,1,B+,32,1,B-,31,1,A-,32,1,3.12,2.97,0
