Gender,Study Hours,Extracurricular_Involvement,Part time job,Struggle with English,CO2221,CO2221_CA,CO2221_attendance,CO2222,CO2222_CA,CO2222_attendance,CO2212,CO2212_CA,CO2212_attendance,CO2223,CO2223_CA,CO2223_attendance,CO2213,CO2213_CA,CO2213_attendance,CO2224,CO2224_CA,CO2224_attendance,CO2214,CO2214_CA,CO2214_attendance,CO2225,CO2225_CA,CO2225_attendance,CO2226,CO2226_CA,CO2226_attendance,4sem_gpa,3rd_sem_GPA,4sem_pass/fail
Female,3,Yes,No,No,C+,23,1,C+,25,1,B-,24,1,A-,23,1,C,24,1,D,23,1,B+,24,1,C+,24,1,C,25,1,2.35,2.21,0
Male,2,No,No,No,C+,30,1,B+,31,1,B,30,1,B,31,1,C+,30,1,D,29,1,A+,30,1,B-,29,1,E,31,1,2.26,2.723333333,0
Male,5,No,No,No,C+,25,1,C+,27,1,C+,26,1,C,25,1,B-,26,1,D+,27,1,C,26,1,C,26,1,D,25,1,1.92,1.78,0
Male,2,No,No,No,B,28,1,B,29,1,B,27,1,A-,28,1,C+,27,1,C-,28,1,B+,27,1,B,27,1,C-,28,1,2.72,2.626666667,0
Male,6,No,No,Yes,C,29,1,B-,31,1,B+,30,1,B-,29,1,B-,30,1,D+,31,1,A+,30,1,C+,30,1,C-,31,1,2.36,2.673333333,0
Male,less than 1 hour,No,Yes,No,B,21,1,B,20,1,B+,21,1,A-,20,1,B+,21,1,C,22,1,B,21,1,B-,22,1,B-,20,1,2.92,1.756666667,1
Male,2,Yes,No,No,D,29,1,ab,27,0,ab,28,0,ab,29,0,E,28,1,ab,29,0,C-,28,1,D+,28,1,ab,27,0,0.42,1.71,0
Male,3,No,Yes,No,C+,30,1,B,29,1,B+,31,1,C+,30,1,B-,31,1,C-,30,1,A+,29,1,B,31,1,C-,31,1,2.53,2.753333333,0
Male,2,Yes,No,Yes,C+,26,1,A-,24,1,A-,25,1,A,24,1,A-,25,1,C-,26,1,A+,25,1,B-,25,1,C-,24,1,2.9,2.54,0
Male,4,No,No,No,A,30,1,A-,31,1,A-,30,1,A+,29,1,A+,30,1,B-,31,1,A,30,1,A+,29,1,B+,31,1,3.67,2.796666667,1
Male,4,No,No,Yes,B-,21,1,A,20,1,A-,21,1,A,22,1,A-,21,1,C+,20,1,A-,21,1,A-,22,1,C+,20,1,3.27,3.06,1
Male,less than 1 hour,Yes,Yes,Yes,C+,28,1,B+,29,1,A,28,1,A-,29,1,ab,28,0,C,29,1,ab,28,0,A-,27,1,ab,29,0,2.67,3.22,0
Male,2,No,No,Yes,ab,23,0,ab,25,0,ab,24,0,ab,23,0,ab,24,0,ab,23,0,ab,24,1,ab,24,0,ab,25,0,0,2.043333333,0
Male,less than 1 hour,Yes,No,No,B,29,1,A,31,1,A-,30,1,A+,29,1,A+,30,1,B+,31,1,A,30,1,A,30,1,C,31,1,3.49,3.28,1
Male,3,No,No,No,D,29,1,B+,27,1,C+,28,1,B-,27,1,A-,28,1,D,29,1,A,28,1,C-,28,1,C-,29,1,2.19,2.01,0
Male,3,Yes,No,No,A-,30,1,B,29,1,A,31,1,B+,30,1,B-,31,1,C-,30,1,B+,29,1,B+,31,1,C+,31,1,2.97,3.463333333,0
Female,5,No,No,No,C+,26,1,A-,24,1,B+,25,1,B+,24,1,A,25,1,C+,26,1,A+,25,1,B,25,1,B-,24,1,3.06,3.04,1
Male,2,Yes,Yes,No,ab,30,1,C,31,1,C+,30,1,ab,31,0,C-,30,1,ab,29,0,B+,30,1,C+,29,1,ab,31,0,1.06,1.996666667,0
Male,4,Yes,No,No,B+,21,1,B+,20,1,A-,21,1,A,20,1,A+,21,1,C,22,1,A-,20,1,C,22,1,C-,21,1,2.93,3.126666667,0
Male,less than 1 hour,Yes,Yes,Yes,B-,25,1,B+,27,1,A-,26,1,A-,25,1,B,26,1,C,27,1,B,26,1,B,26,1,C,25,1,2.87,2.646666667,1
Male,less than 1 hour,No,No,No,C+,29,1,B+,27,1,B+,28,1,B,27,1,B-,28,1,C-,29,1,B,28,1,B-,28,1,C+,29,1,2.64,2.863333333,0
Female,2,No,No,Yes,C+,29,1,A-,31,1,A-,30,1,B-,29,1,A,30,1,C-,31,1,B+,30,1,B,30,1,C-,31,1,2.75,2.696666667,0
Male,1,Yes,No,No,C+,23,1,B-,25,1,A-,24,1,B+,23,1,B-,24,1,C,25,1,A,24,1,B-,24,1,C-,23,1,2.65,2.786666667,0
Male,5,No,No,No,B,21,1,A-,20,1,A-,21,1,A-,22,1,B,21,1,C-,20,1,A+,21,1,B,22,1,C+,20,1,3.03,3.086666667,0
Male,2,Yes,No,No,C,29,1,B+,27,1,B+,28,1,B+,29,1,C,28,1,D+,29,1,A,28,1,B-,28,1,C-,29,1,2.53,2.96,0
Male,3,Yes,No,No,B,26,1,B+,24,1,B,25,1,B+,24,1,C+,25,1,ab,26,1,B,25,1,B-,25,1,C,24,1,2.46,3.23,0
Female,2,Yes,No,No,B+,29,1,A-,31,1,B+,30,1,A-,29,1,B+,30,1,B+,31,1,A+,30,1,A-,30,1,C+,31,1,3.37,3.446666667,1
Male,4,No,No,No,ab,21,0,ab,20,0,ab,21,0,ab,22,0,ab,21,1,ab,20,1,ab,21,0,ab,22,0,ab,20,0,0,1.526666667,0
Male,3,No,No,No,C,29,1,A-,27,1,B+,28,1,ab,27,1,B,28,1,C+,29,1,B+,28,1,B,28,1,D+,29,1,2.28,3.286666667,0
Male,4,No,No,No,C+,30,1,B,29,1,B+,31,1,B-,30,1,C,31,1,C-,30,1,A,29,1,C+,31,1,C,31,1,2.49,1.946666667,0
Male,less than 1 hour,Yes,No,Yes,B+,23,1,B,25,1,A-,24,1,A-,23,1,A-,24,1,ab,25,0,B-,24,1,B+,24,1,D+,23,1,2.62,2.953333333,0
Female,less than 1 hour,Yes,No,Yes,B,30,1,A-,31,1,B+,30,1,B+,29,1,B,30,1,C,31,1,B+,30,1,B,29,1,C+,31,1,2.95,2.596666667,1
Female,2,No,No,No,A,25,1,B,27,1,B+,26,1,B,25,1,A+,26,1,B+,27,1,B+,26,1,B,26,1,B+,25,1,3.32,3.463333333,1
Female,6,No,No,No,B+,29,1,A+,31,1,B+,30,1,A-,31,1,B,30,1,C+,29,1,A,30,1,A-,30,1,B-,29,1,3.31,3.096666667,1
Male,5,No,No,No,B-,29,1,B+,27,1,B+,28,1,B+,29,1,B,28,1,D+,29,1,B+,28,1,C,28,1,C+,27,1,2.63,2.936666667,0
Female,6,No,No,No,B+,21,1,B,20,1,A,21,1,B+,22,1,B,21,1,C,20,1,A,21,1,A-,22,1,C,20,1,3.04,3.39,1
Female,more than 6 hours,No,No,No,B-,26,1,A-,24,1,A,25,1,A-,24,1,B+,25,1,A-,26,1,B+,25,1,A-,25,1,B-,24,1,3.4,3.29,1
Male,2,Yes,No,No,B-,29,1,B,31,1,A-,30,1,B+,29,1,ab,30,1,C-,31,1,B,30,1,B-,30,1,D,31,1,2.37,2.84,0
Male,5,No,No,No,B+,28,1,A,29,1,B+,27,1,A-,28,1,A-,27,1,B-,28,1,A,27,1,A,27,1,C-,28,1,3.32,3.563333333,0
Male,2,Yes,No,Yes,B+,25,1,A-,27,1,A-,26,1,A-,25,1,B+,26,1,ab,27,0,B,26,1,A-,26,1,B+,25,1,3.03,3.146666667,0
Female,more than 6 hours,No,No,No,C-,21,1,C+,20,1,B-,21,1,ab,20,1,C+,21,1,ab,22,0,A-,20,1,C,22,1,D+,21,1,1.55,2.63,0
Male,less than 1 hour,Yes,No,Yes,B-,29,1,B+,27,1,A-,28,1,B+,29,1,C+,28,1,C-,29,1,B+,28,1,B-,28,1,C-,29,1,2.67,3.046666667,0
Male,4,No,Yes,No,B-,26,1,A-,24,1,A-,25,1,B,24,1,C+,25,1,C,26,1,A-,25,1,B+,25,1,C-,24,1,2.83,2.813333333,1
Female,more than 6 hours,No,No,Yes,C,30,1,B,29,1,B-,31,1,ab,30,0,D+,31,1,E,30,1,B,29,1,C+,31,1,D+,31,1,1.61,2.173333333,0
Male,1,Yes,Yes,No,B,28,1,B+,30,1,A,29,1,B+,30,1,ab,29,0,C,28,1,B,29,1,B,29,1,B-,30,1,2.77,2.863333333,0
Female,5,Yes,No,No,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,ab,0,0,0,0.583333333,0
